City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Hauterive,FR,2022-10-04 22:06:56,46.0901,3.4459,54.36,71,6,3.47
141,Tarquinia,IT,2022-10-04 22:06:57,42.2482,11.7553,67.59,75,91,3.76
142,Masunga,BW,2022-10-04 22:06:57,-20.6246,27.4488,77.34,15,0,14.54
143,Olafsvik,IS,2022-10-04 22:06:58,64.8945,-23.7142,41.81,90,100,25.68
144,Jalu,LY,2022-10-04 22:06:58,29.0331,21.5482,73.36,57,0,10.18
145,Mezen,RU,2022-10-04 22:06:59,65.8522,44.24,40.73,97,85,5.99
146,Calbuco,CL,2022-10-04 22:07:00,-41.768,-73.1273,54.61,76,59,8.39
147,Peniche,PT,2022-10-04 22:07:01,39.3558,-9.3811,65.08,86,0,9.48
148,Joshimath,IN,2022-10-04 22:07:01,30.5667,79.5667,60.78,62,1,5.26
149,Shieli,KZ,2022-10-04 22:07:02,44.1667,66.75,51.31,27,0,12.17
150,Bayan,CN,2022-10-04 22:07:02,46.0833,127.4,29.16,49,2,6.85
151,Koutsouras,GR,2022-10-04 22:07:03,35.0339,25.9469,71.11,55,0,15.82
152,Kaputa,ZM,2022-10-04 22:07:04,-8.4689,29.6619,74.61,37,69,3.87
153,Ancud,CL,2022-10-04 22:07:05,-41.8697,-73.8203,50.56,83,29,7.4
154,Nove Mesto Na Morave,CZ,2022-10-04 22:07:05,49.5614,16.0742,46.54,87,21,3.49
155,Kirs,RU,2022-10-04 22:07:06,59.3388,52.2447,47.21,59,93,6.89
156,Upernavik,GL,2022-10-04 22:07:06,72.7868,-56.1549,21.49,81,72,6.22
157,Oranjemund,NA,2022-10-04 22:07:07,-28.55,16.4333,55.76,87,3,12.57
158,Bystryy Istok,RU,2022-10-04 22:07:08,52.371,84.3873,32.09,80,84,2.98
159,Chuy,UY,2022-10-04 22:04:22,-33.6971,-53.4616,54.64,86,13,6.67
160,Cabedelo,BR,2022-10-04 22:07:09,-6.9811,-34.8339,77.67,76,42,10.92
161,Yambio,SS,2022-10-04 22:07:10,4.5721,28.3955,67.91,97,100,2.64
162,Luderitz,NA,2022-10-04 22:07:10,-26.6481,15.1594,55.96,75,0,16.69
163,Lundazi,ZM,2022-10-04 22:07:11,-12.2929,33.1782,66.49,41,9,7.47
164,Carnarvon,AU,2022-10-04 22:07:11,-24.8667,113.6333,65.82,76,0,10.22
165,Jadu,LY,2022-10-04 22:07:12,31.953,12.0261,63.79,73,0,5.41
166,Praia,CV,2022-10-04 22:07:13,14.9215,-23.5087,77.54,88,40,1.14
167,Aksarka,RU,2022-10-04 22:07:14,66.5606,67.7975,33.73,85,8,2.71
168,Hualmay,PE,2022-10-04 22:07:15,-11.0964,-77.6139,63.75,74,23,11.83
169,Gat,IL,2022-10-04 22:07:15,31.61,34.7642,76.41,100,0,1.97
170,Kavaratti,IN,2022-10-04 22:07:16,10.5669,72.642,80.91,78,99,16.84
171,Karasjok,NO,2022-10-04 22:07:16,69.4719,25.5112,33.22,92,26,6.33
172,Lexington Park,US,2022-10-04 22:07:17,38.2668,-76.4538,53.65,96,100,5.01
173,Melbu,NO,2022-10-04 22:07:18,68.5044,14.8297,51.62,62,100,14.97
174,Chekmagush,RU,2022-10-04 22:07:19,55.1319,54.6556,47.75,34,100,11.88
175,Tromso,NO,2022-10-04 22:07:20,69.6496,18.957,44.38,87,0,2.3
176,Himare,AL,2022-10-04 22:07:20,40.1017,19.7447,65.64,55,0,7.07
177,Saltpond,GH,2022-10-04 22:07:21,5.2091,-1.0606,75.96,93,89,7.63
178,Lannion,FR,2022-10-04 22:07:22,48.75,-3.4167,61.02,89,100,13.27
179,San Luis,AR,2022-10-04 22:07:22,-33.295,-66.3356,76.5,27,10,6.46
180,Ariquemes,BR,2022-10-04 22:07:23,-9.9133,-63.0408,77.29,75,82,3.18
181,Geraldton,AU,2022-10-04 22:04:23,-28.7667,114.6,55.81,88,40,9.22
182,Hammerfest,NO,2022-10-04 22:07:24,70.6634,23.6821,45.05,76,0,11.5
183,Lasa,IT,2022-10-04 22:07:24,46.6166,10.7002,54.95,48,13,1.74
184,Krasnoturinsk,RU,2022-10-04 22:07:25,59.7666,60.2086,44.22,74,34,3.6
185,Akhtubinsk,RU,2022-10-04 22:07:25,48.2795,46.1722,58.6,70,100,10.74
186,Maracacume,BR,2022-10-04 22:08:26,-2.0428,-45.9592,76.6,82,79,5.88
