,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
508,Razole,IN,76.91,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
512,Ondjiva,AO,80.89,clear sky,-17.0667,15.7333,COMBUESA
514,Talladega,US,81.48,clear sky,33.4359,-86.1058,"Holiday Inn Express & Suites Talladega, an IHG Hotel"
517,Jalu,LY,79.3,clear sky,29.0331,21.5482,صاحبة الفخامة
520,Conselheiro Pena,BR,88.52,broken clouds,-19.1722,-41.4722,Hotel Bela Adormecida
523,Vila Do Maio,CV,84.99,clear sky,15.1333,-23.2167,Hotel Marilu
526,Maragogi,BR,80.71,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
530,Coruripe,BR,81.21,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
532,Tsiroanomandidy,MG,75.09,clear sky,-18.7667,46.0333,Hotel Ravinala
535,Manadhoo,MV,81.28,overcast clouds,5.7667,73.3833,Bon Abri maldives
540,Vazante,BR,87.67,few clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
542,Mersin,TR,75.15,clear sky,36.862,34.6509,Nostalgia Boutique Hotel
543,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
547,Morondava,MG,76.3,clear sky,-20.2833,44.2833,La Case Bambou
549,Mongu,ZM,77.63,few clouds,-15.2484,23.1274,Country Lodge Mongu
553,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
556,Weligama,LK,77.2,overcast clouds,5.9667,80.4167,Weligama Bay Resort
565,Tuscaloosa,US,82.85,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
570,Banda Aceh,ID,76.5,heavy intensity rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
572,Gamboma,CG,78.53,overcast clouds,-1.8764,15.8644,Residence N'Keni
575,Mosetse,BW,83.66,clear sky,-20.75,26.65,
577,Grenville,GD,80.65,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
580,Mahibadhoo,MV,81.36,overcast clouds,3.7833,72.9667,Omadhoo Inn
584,Yazman,PK,85.24,clear sky,29.1212,71.7446,Malik House
585,Malanville,BJ,84.67,broken clouds,11.8685,3.3899,Hotel Sejour du Sahel
586,Sangueya,GN,78.73,overcast clouds,10.7,-14.3667,
588,Barra Da Estiva,BR,83.77,clear sky,-13.6261,-41.3269,Pousada Central
593,Bartica,GY,88.12,light rain,6.4,-58.6167,Sloth Island Nature Resort
595,Salinopolis,BR,82.96,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
602,Kalemie,CD,76.35,broken clouds,-5.9475,29.1947,Mahobilali
603,Beni Mazar,EG,80.44,clear sky,28.4962,30.8029,Link Co-Working space & Development center
